	Lexeme			Token			Value
	#include<stdio.h>			Preprocessor Statement			0
	int			Keyword			1
	main			Identifier			2
	(			Punctuator			3
	)			Punctuator			4
	{			Punctuator			5
	int			Keyword			6
	amount			Identifier			7
	,			Punctuator			8
	rate			Identifier			9
	,			Punctuator			10
	time			Identifier			11
	,			Punctuator			12
	si			Identifier			13
	,			Punctuator			14
	;			Punctuator			15
	;			Punctuator			16
	;			Punctuator			17
	;			Punctuator			18
	;			Punctuator			19
	;			Punctuator			20
	;			Punctuator			21
	;			Punctuator			22
	si			Identifier			23
	=			Operator			24
	(			Punctuator			25
	amount			Identifier			26
	*			Operator			27
	rate			Identifier			28
	*			Operator			29
	time			Identifier			30
	)			Punctuator			31
	/			Operator			32
	100			Constant			33
	;			Punctuator			34
	;			Punctuator			35
	;			Punctuator			36
	return			Keyword			37
	(			Punctuator			38
	0			Constant			39
	)			Punctuator			40
	;			Punctuator			41
	}			Punctuator			42
